Timestamp,SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,PacketLength,InfoPacket,Signature
2023-10-31 00:25:40,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:41,192.168.152.139,192.168.152.2,,,17,110,192.168.152.139: -> 192.168.152.2: 17 Length=110,192.168.152.139_192.168.152.2/17/HTTP (Other)
2023-10-31 00:25:44,192.168.152.139,192.168.152.2,,,17,89,192.168.152.139: -> 192.168.152.2: 17 Length=89,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:44,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:44,192.168.152.139,192.168.152.2,,,17,89,192.168.152.139: -> 192.168.152.2: 17 Length=89,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:44,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:45,192.168.152.139,192.168.152.2,,,17,89,192.168.152.139: -> 192.168.152.2: 17 Length=89,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:45,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:47,192.168.152.139,192.168.152.2,,,17,89,192.168.152.139: -> 192.168.152.2: 17 Length=89,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:47,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:51,192.168.152.139,192.168.152.2,,,17,89,192.168.152.139: -> 192.168.152.2: 17 Length=89,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:51,192.168.152.139,192.168.152.2,,,17,92,192.168.152.139: -> 192.168.152.2: 17 Length=92,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:55,192.168.152.139,192.168.152.2,,,17,83,192.168.152.139: -> 192.168.152.2: 17 Length=83,192.168.152.139_192.168.152.2/17/Non-HTTP
2023-10-31 00:25:55,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:55,192.168.152.1,224.0.0.251,,,17,77,192.168.152.1: -> 224.0.0.251: 17 Length=77,192.168.152.1_224.0.0.251/17/Non-HTTP
2023-10-31 00:25:55,192.168.152.1,224.0.0.252,,,17,71,192.168.152.1: -> 224.0.0.252: 17 Length=71,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:25:55,192.168.152.1,224.0.0.252,,,17,71,192.168.152.1: -> 224.0.0.252: 17 Length=71,192.168.152.1_224.0.0.252/17/Non-HTTP
2023-10-31 00:25:56,192.168.152.139,192.168.152.2,,,17,83,192.168.152.139: -> 192.168.152.2: 17 Length=83,192.168.152.139_192.168.152.2/17/Non-HTTP
